"FirstName","LastName","Date Hired"
"Lucien","Adachi","1986-09-25"
"Giao","Adachi","1986-11-04"
"Berhard","Adachi","1986-04-14"
"Guoxiang","Adachi","1986-05-26"
"Hironoby","Adachi","1986-12-21"
"Jayesh","Adachi","1986-12-05"
"Subhrajyoti","Adachi","1986-03-26"
"Tommaso","Adachi","1986-01-16"
"Radhia","Adachi","1986-12-19"
"Yongmin","Adachi","1986-04-30"
"Billur","Adachi","1986-09-21"
"Richard","Adachi","1986-07-29"
"Kiyokazu","Aingworth","1986-01-28"
"Lech","Aingworth","1986-08-16"
"Wanqing","Aingworth","1986-11-28"
"Mohammad","Aingworth","1986-02-18"
"Wilmer","Aingworth","1986-05-21"
"Sajjad","Aingworth","1986-10-31"
"Guiseppe","Aingworth","1986-07-16"
"Collette","Aingworth","1986-07-01"
"Giap","Aingworth","1986-08-08"
"Mana","Aingworth","1986-04-26"
"Phillip","Aingworth","1986-01-20"
"Foong","Aingworth","1986-03-19"
"Kazuhiko","Aingworth","1986-12-26"
"Jiang","Aingworth","1986-07-12"
"Roded","Aingworth","1986-11-21"
"Shimshon","Aingworth","1986-04-13"
"Erzsebet","Aingworth","1986-02-20"
"Navin","Aingworth","1986-05-19"
"Lene","Aingworth","1986-08-31"
"Kenton","Aingworth","1986-03-31"
"Gill","Akaboshi","1986-01-29"
"Akeel","Akaboshi","1986-07-06"
"Arve","Akaboshi","1986-01-31"
"Shir","Akaboshi","1986-09-14"
"Takahiro","Akaboshi","1986-04-10"
"Lidong","Akaboshi","1986-07-26"
"Paris","Akaboshi","1986-04-07"
"Udaiprakash","Akaboshi","1986-02-11"
"Bernice","Akaboshi","1986-12-30"
"Yongmao","Akaboshi","1986-01-19"
"Hinrich","Akaboshi","1986-04-02"
"Peternela","Akaboshi","1986-01-10"
"Uta","Akaboshi","1986-05-30"
"TRUE","Akaboshi","1986-12-23"
"Margareta","Akaboshi","1986-04-09"
"Mayuko","Akaboshi","1986-04-27"
"Nobuyoshi","Akaboshi","1986-06-01"
"Yurij","Akaboshi","1986-08-16"
"Jacqueline","Akaboshi","1986-07-27"
"Quingbo","Akaboshi","1986-11-15"
"Shuichi","Akaboshi","1986-11-04"
"Mooi","Akaboshi","1986-05-31"
"Parviz","Akaboshi","1986-09-22"
"Sanjit","Akaboshi","1986-08-20"
"Mingsen","Akaboshi","1986-03-14"
"Fen","Akaboshi","1986-03-08"
"Parviz","Akazan","1986-08-30"
"Genta","Akazan","1986-12-07"
"Abdelkader","Akazan","1986-02-27"
"Dietrich","Akazan","1986-01-17"
"Hyuckchul","Akazan","1986-10-20"
"Torsten","Akazan","1986-10-15"
"Martina","Akazan","1986-04-17"
"Serenella","Akazan","1986-03-03"
"Tayeb","Akazan","1986-10-09"
"Oksana","Akazan","1986-12-05"
"Xinyu","Akazan","1986-06-07"
"Shawna","Akazan","1986-02-21"
"Niranjan","Akazan","1986-08-07"
"Radhakrishnan","Akazan","1986-01-17"
"Jiann","Akazan","1986-01-27"
"Collette","Akazan","1986-05-14"
"Kensei","Akazan","1986-12-18"
"Boaz","Akazan","1986-06-30"
"Magy","Akazan","1986-02-23"
"Padma","Akazan","1986-11-11"
"Youjian","Akazan","1986-05-02"
"Yonghong","Akazan","1986-07-14"
"Kannan","Akazan","1986-11-20"
"Ashish","Akazan","1986-08-28"
"Guiseppe","Akazan","1986-04-22"
"Fumino","Akazan","1986-04-03"
"Mingzeng","Akiyama","1986-12-14"
"Khalid","Akiyama","1986-01-31"
"Trygve","Akiyama","1986-12-04"
"Vasilii","Akiyama","1986-07-16"
"Kwan","Akiyama","1986-06-21"
"Mostafa","Akiyama","1986-12-16"
"Margareta","Akiyama","1986-07-13"
"Van","Akiyama","1986-08-22"
"Utz","Akiyama","1986-09-23"
"Owen","Akiyama","1986-12-20"
"Dmitry","Akiyama","1986-03-02"
"Shahar","Akiyama","1986-07-19"
"Hidde","Akiyama","1986-02-15"
"Margo","Akiyama","1986-02-10"
"Vitaly","Akiyama","1986-05-24"
"Edwin","Alameldin","1986-11-02"
"Shooichi","Alameldin","1986-02-13"
"Alain","Alameldin","1986-07-24"
"Shrikanth","Alameldin","1986-02-17"
"Mitchel","Alameldin","1986-03-31"
"Yahiko","Alameldin","1986-09-26"
"Danel","Alameldin","1986-07-07"
"Qiwen","Alameldin","1986-11-14"
"Alagu","Alameldin","1986-09-05"
"Teruyuki","Alameldin","1986-11-21"
"Yongqiao","Alameldin","1986-10-29"
"Kirk","Alameldin","1986-11-26"
"Jianhao","Alameldin","1986-04-13"
"Lorien","Alameldin","1986-09-27"
"Vishu","Alameldin","1986-12-25"
"Jingling","Alameldin","1986-12-20"
"Tesuya","Alameldin","1986-09-26"
"Weicheng","Alameldin","1986-04-09"
"Jacopo","Alameldin","1986-07-18"
"Nadjib","Alameldin","1986-11-16"
"Sampalli","Alameldin","1986-02-03"
"Subhada","Albarhamtoshy","1986-02-23"
"Shmuel","Albarhamtoshy","1986-03-02"
"Teiji","Albarhamtoshy","1986-06-27"
"Poornachandra","Albarhamtoshy","1986-12-16"
"Gift","Albarhamtoshy","1986-02-11"
"Yucai","Albarhamtoshy","1986-12-27"
"Huei","Albarhamtoshy","1986-01-18"
"Ymte","Albarhamtoshy","1986-10-27"
"Parke","Albarhamtoshy","1986-12-25"
"Anoosh","Albarhamtoshy","1986-10-03"
"Radhakrishnan","Albarhamtoshy","1986-05-07"
"Richard","Albarhamtoshy","1986-10-28"
"Marl","Albarhamtoshy","1986-06-10"
"Samphel","Albarhamtoshy","1986-09-05"
"Roselyn","Albarhamtoshy","1986-01-18"
"Masali","Albarhamtoshy","1986-06-13"
"Xiahua","Albarhamtoshy","1986-07-15"
"Sadegh","Albarhamtoshy","1986-07-16"
"Junsik","Albarhamtoshy","1986-04-08"
"Badri","Albarhamtoshy","1986-11-28"
"Charlene","Albarhamtoshy","1986-12-18"
"Yannis","Albarhamtoshy","1986-07-04"
"Serge","Alblas","1986-03-06"
"Sangeeta","Alblas","1986-10-24"
"Elvia","Alblas","1986-12-03"
"Shan","Alblas","1986-09-06"
"Boriana","Alblas","1986-06-25"
"Beshir","Alblas","1986-03-11"
"Hisao","Alblas","1986-01-14"
"Ger","Alblas","1986-10-16"
"Miomir","Alblas","1986-12-10"
"Constantino","Alblas","1986-07-17"
"Xiaobin","Alblas","1986-12-31"
"Jacopo","Alblas","1986-11-08"
"Deborah","Alblas","1986-02-10"
"Chenxi","Alblas","1986-01-29"
"Wilmer","Alblas","1986-12-14"
"Tayeb","Alblas","1986-06-28"
"Reuven","Alblas","1986-02-04"
"Nigel","Alblas","1986-10-09"
"Tsuneo","Alblas","1986-05-12"
"Jaber","Alblas","1986-11-02"
"Shir","Alblas","1986-05-10"
"Randi","Alblas","1986-09-19"
"Houman","Alblas","1986-02-20"
"Gina","Alblas","1986-12-30"
"Valeri","Alblas","1986-11-13"
"Miyeon","Alblas","1986-02-07"
"Joydip","Alblas","1986-11-24"
"Mingsen","Alblas","1986-11-16"
"Weidon","Alencar","1986-08-17"
"Muzhong","Alencar","1986-06-12"
"Ekawit","Alencar","1986-05-13"
"Yonghoan","Alencar","1986-03-22"
"Kwangyoen","Alencar","1986-07-29"
"Guangming","Alencar","1986-11-28"
"Gio","Alencar","1986-04-16"
"Laurentiu","Alencar","1986-12-25"
"Xianlong","Alencar","1986-03-14"
"Valeri","Alencar","1986-10-21"
"Shimshon","Alencar","1986-06-23"
"Fen","Aloia","1986-08-18"
"Doohun","Aloia","1986-11-28"
"Genki","Aloia","1986-12-14"
"Shuzo","Aloia","1986-05-20"
"Arlette","Aloia","1986-11-26"
"Greger","Aloia","1986-01-30"
"Kristine","Aloia","1986-07-22"
"Kwan","Aloia","1986-12-04"
"Baoqiu","Aloia","1986-07-29"
"Paloma","Aloia","1986-01-30"
"Edwin","Aloia","1986-07-05"
"Fumiya","Aloia","1986-10-20"
"Macha","Aloia","1986-08-30"
"Berna","Aloia","1986-03-21"
"Kwangsub","Aloia","1986-04-03"
"Conal","Aloia","1986-02-02"
"Yahiko","Aloia","1986-07-25"
"Shem","Aloia","1986-03-31"
"Rosella","Aloia","1986-01-03"
"Kiyokazu","Aloia","1986-05-25"
"Xuedong","Aloisi","1986-08-31"
"Yannis","Aloisi","1986-11-07"
"Poorav","Aloisi","1986-06-14"
"Chaitali","Aloisi","1986-08-08"
"Kayoko","Aloisi","1986-02-08"
"Younwoo","Aloisi","1986-11-12"
"Jessie","Aloisi","1986-07-16"
"Nidapan","Aloisi","1986-10-08"
"Kristinn","Aloisi","1986-05-29"
"Jahangir","Aloisi","1986-10-19"
"Mostafa","Aloisi","1986-02-13"
"Reuven","Aloisi","1986-07-26"
"Frazer","Aloisi","1986-03-14"
"Tristan","Aloisi","1986-02-15"
"Atreyi","Aloisi","1986-07-23"
"Shrikanth","Aloisi","1986-05-14"
"Jouni","Aloisi","1986-01-12"
"Filipp","Aloisi","1986-10-14"
"Hatsukazu","Aloisi","1986-02-20"
"Rajmohan","Aloisi","1986-01-23"
"Bartek","Aloisi","1986-07-20"
"Goetz","Aloisi","1986-11-08"
"Dulce","Alpay","1986-11-07"
"Arie","Alpay","1986-11-23"
"Leah","Alpay","1986-01-03"
"Gianluca","Alpay","1986-08-01"
"Guadalupe","Alpay","1986-07-19"
"Izaskun","Alpay","1986-01-08"
"Brendon","Alpay","1986-04-05"
"Xudong","Alpay","1986-09-28"
"Sreekrishna","Alpay","1986-11-03"
"Kazuhisa","Alpay","1986-05-04"
"Kristian","Alpay","1986-06-02"
"Fai","Alpay","1986-07-16"
"Mokhtar","Alpay","1986-03-28"
"Tru","Alpay","1986-11-20"
"Boalin","Alpay","1986-10-17"
"Martien","Alpay","1986-11-08"
"Yuuichi","Alpay","1986-12-06"
"Chenye","Alpay","1986-06-06"
"Tiina","Alpay","1986-07-25"
"Arnould","Alpay","1986-07-06"
"Berry","Alpay","1986-12-29"
"Boaz","Alpay","1986-09-27"
"Sanjay","Alpin","1986-05-25"
"Almudena","Alpin","1986-11-20"
"Nevio","Alpin","1986-07-24"
"Aiichiro","Alpin","1986-03-03"
"Ronghao","Alpin","1986-06-03"
"Mohan","Alpin","1986-08-05"
"Mingzeng","Alpin","1986-09-01"
"Mechthild","Alpin","1986-01-26"
"Jessie","Alpin","1986-01-03"
"Khatoun","Alpin","1986-11-06"
"Shigehito","Alpin","1986-05-04"
"Demin","Alpin","1986-03-01"
"Kwok","Alpin","1986-11-15"
"Temple","Alpin","1986-08-31"
"Shahar","Alpin","1986-02-20"
"Khosrow","Alpin","1986-10-28"
"Qiwen","Alpin","1986-01-16"
"Heejo","Alpin","1986-06-13"
"IEEE","Alpin","1986-09-10"
"Vasiliy","Alpin","1986-07-05"
"Krister","Alpin","1986-11-03"
"Falguni","Alvarado","1986-12-13"
"Hausi","Alvarado","1986-12-18"
"Hironoby","Alvarado","1986-10-03"
"Aloys","Alvarado","1986-06-23"
"Kwangsub","Alvarado","1986-12-15"
"Jagoda","Alvarado","1986-12-01"
"Tristan","Alvarado","1986-05-13"
"Geoffry","Alvarado","1986-05-10"
"Yuqun","Alvarado","1986-11-12"
"Geraldo","Alvarado","1986-07-07"
"Xuejun","Alvarado","1986-10-17"
"Mahmut","Alvarado","1986-12-26"
"Isaac","Alvarado","1986-12-02"
"Arun","Alvarado","1986-08-16"
"Sahrah","Alvarado","1986-09-03"
"Youngkon","Alvarado","1986-06-02"
"Mihalis","Alvarado","1986-06-08"
"Mara","Alvarado","1986-02-21"
"Pascal","Alvarado","1986-02-28"
"Fun","Alvarado","1986-08-05"
"Guozhong","Alvarado","1986-11-16"
"Zhenbing","Alvarado","1986-02-19"
"Uwe","Alvarado","1986-07-17"
"Jiafu","Alvarado","1986-03-30"
"Adit","Alvarado","1986-11-12"
"Mansur","Alvarado","1986-03-20"
"Sangeeta","Alvarado","1986-01-21"
"Arie","Alvarado","1986-03-09"
"Bowen","Alvarado","1986-10-30"
"Isamu","Ambroszkiewicz","1986-11-05"
"Masako","Ambroszkiewicz","1986-07-07"
"Yahiko","Ambroszkiewicz","1986-12-15"
"Tesuya","Ambroszkiewicz","1986-08-05"
"Falguni","Ambroszkiewicz","1986-11-29"
"Jiafu","Ambroszkiewicz","1986-11-05"
"Tze","Ambroszkiewicz","1986-05-27"
"Goo","Ambroszkiewicz","1986-05-18"
"Sadun","Ambroszkiewicz","1986-02-20"
"Geoffry","Ambroszkiewicz","1986-06-09"
"Kazuhide","Ambroszkiewicz","1986-05-07"
"Kien","Ambroszkiewicz","1986-04-10"
"Marsha","Ambroszkiewicz","1986-06-20"
"Aluzio","Ambroszkiewicz","1986-04-24"
"Gaetan","Ambroszkiewicz","1986-02-07"
"Khun","Ambroszkiewicz","1986-12-18"
"Leif","Ambroszkiewicz","1986-04-04"
"Mingzeng","Ambroszkiewicz","1986-12-25"
"Dekang","Ambroszkiewicz","1986-12-09"
"Jayson","Ambroszkiewicz","1986-02-08"
"Yishay","Ambroszkiewicz","1986-10-13"
"Snehasis","Anandan","1986-11-02"
"Sreekrishna","Anandan","1986-10-25"
"Roded","Anandan","1986-09-09"
"Kokou","Anandan","1986-10-25"
"Khue","Anandan","1986-10-29"
"Bluma","Anandan","1986-11-24"
"Krassimir","Anandan","1986-06-28"
"Babette","Anandan","1986-11-22"
"Adhemar","Anandan","1986-08-20"
"Guadalupe","Anandan","1986-10-18"
"Mara","Anandan","1986-10-27"
"Gita","Anandan","1986-02-01"
"Gio","Anandan","1986-01-19"
"Doohun","Anandan","1986-09-26"
"Tuval","Anandan","1986-01-08"
"Mohd","Anandan","1986-01-16"
"Chikara","Anandan","1986-02-22"
"Aimee","Anandan","1986-09-03"
"Berto","Anandan","1986-05-21"
"Chikako","Anandan","1986-05-15"
"Zorica","Anandan","1986-07-22"
"Zhenbing","Anandan","1986-10-09"
"Ghassan","Anandan","1986-10-06"
"Larisa","Anandan","1986-05-20"
"Gaurav","Anandan","1986-12-25"
"Sanjiv","Anandan","1986-11-14"
"Zejun","Anandan","1986-03-19"
"Leandro","Anandan","1986-01-27"
"Anneli","Anandan","1986-01-28"
"Oldrich","Anandan","1986-02-04"
"Sergi","Anandan","1986-09-17"
"Sampalli","Ananiadou","1986-09-13"
"Arco","Ananiadou","1986-02-16"
"Chikara","Ananiadou","1986-04-10"
"Bedir","Ananiadou","1986-08-27"
"Greger","Ananiadou","1986-06-30"
"Jaana","Ananiadou","1986-09-17"
"Yoshimitsu","Ananiadou","1986-04-26"
"Fei","Ananiadou","1986-12-27"
"Subhankar","Ananiadou","1986-09-24"
"Nechama","Ananiadou","1986-04-14"
"Bartek","Ananiadou","1986-07-24"
"Mabhin","Ananiadou","1986-05-06"
"Babette","Ananiadou","1986-03-03"
"Yifei","Ananiadou","1986-03-27"
"Yongdong","Ananiadou","1986-03-21"
"Ohad","Ananiadou","1986-10-10"
"Dinkar","Ananiadou","1986-09-20"
"Ziva","Ananiadou","1986-10-09"
"Masamitsu","Ananiadou","1986-11-24"
"Vesna","Andreotta","1986-09-14"
"Hatsukazu","Andreotta","1986-11-10"
"Yurij","Andreotta","1986-03-19"
"Gino","Andreotta","1986-11-28"
"Falguni","Andreotta","1986-08-08"
"Alain","Andreotta","1986-06-16"
"Lucian","Andreotta","1986-12-15"
"Jahangir","Andreotta","1986-09-02"
"Sedat","Andreotta","1986-01-17"
"Alain","Andreotta","1986-04-24"
"Uta","Andreotta","1986-01-14"
"Jaana","Andreotta","1986-06-26"
"Peer","Andreotta","1986-04-02"
"Younwoo","Andreotta","1986-05-03"
"Aluzio","Andreotta","1986-04-24"
"Fumino","Andreotta","1986-10-08"
"Jaroslava","Andreotta","1986-04-13"
"Vasilis","Andreotta","1986-06-26"
"Mohd","Androutsos","1986-12-17"
"Arunachalam","Androutsos","1986-02-12"
"Satyanarayana","Androutsos","1986-07-19"
"Hidefumi","Androutsos","1986-07-31"
"Mong","Androutsos","1986-05-17"
"Yunming","Androutsos","1986-01-22"
"Munenori","Androutsos","1986-12-13"
"Hugh","Androutsos","1986-09-21"
"Sreekrishna","Androutsos","1986-11-10"
"Mahmut","Androutsos","1986-04-05"
"Bojan","Androutsos","1986-12-28"
"Bouchung","Androutsos","1986-03-24"
"Toshimitsu","Androutsos","1986-02-04"
"Subhash","Androutsos","1986-07-05"
"Djelloul","Androutsos","1986-01-15"
"Lobel","Androutsos","1986-08-17"
"Lansing","Angel","1986-01-31"
"Margareta","Angel","1986-12-31"
"Nishit","Angel","1986-08-08"
"Hugh","Angel","1986-04-25"
"Martijn","Angel","1986-01-29"
"Syozo","Angel","1986-05-04"
"Tiina","Angel","1986-02-10"
"Shigenori","Angel","1986-05-31"
"Toshiki","Angel","1986-09-13"
"Sukumar","Angel","1986-03-23"
"Hinrich","Angel","1986-11-05"
"Nadjib","Angelopoulos","1986-08-15"
"Munehiro","Angelopoulos","1986-04-07"
"Subhrajyoti","Angelopoulos","1986-08-23"
"Radoslaw","Angelopoulos","1986-11-17"
"Baruch","Angelopoulos","1986-10-10"
"Sangeeta","Angelopoulos","1986-08-15"
"Ravishankar","Angelopoulos","1986-10-18"
"Manu","Angelopoulos","1986-11-05"
"Bikash","Angelopoulos","1986-05-30"
"Idoia","Angelopoulos","1986-09-24"
"Aral","Angelopoulos","1986-08-04"
"Marke","Angelopoulos","1986-11-18"
"Denis","Angelopoulos","1986-11-02"
"Xuejun","Angelopoulos","1986-04-10"
"Oguz","Angelopoulos","1986-11-29"
"Arumugam","Angelopoulos","1986-12-20"
"Mantis","Angelopoulos","1986-04-14"
"Hairong","Angelopoulos","1986-11-01"
"Nimmagadda","Angelopoulos","1986-10-09"
"Tiina","Angelopoulos","1986-01-16"
"Panayotis","Angelopoulos","1986-03-24"
"Wuxu","Angelopoulos","1986-09-03"
"Fumiko","Angelopoulos","1986-03-05"
"Gritta","Angelopoulos","1986-09-06"
"Prasadram","Angelopoulos","1986-10-19"
"Vatsa","Angelov","1986-07-14"
"Tokuyasu","Angelov","1986-11-16"
"Elrique","Angelov","1986-01-30"
"Jiang","Angelov","1986-12-12"
"Yurij","Angelov","1986-12-09"
"Ziyad","Angelov","1986-08-06"
"Kokou","Angelov","1986-09-09"
"Teruyuki","Angelov","1986-11-08"
"Chandrasekaran","Angelov","1986-05-14"
"Rasikan","Angelov","1986-08-08"
"Marke","Angelov","1986-08-15"
"Mayuri","Angelov","1986-05-02"
"Mart","Angelov","1986-06-25"
"Kiyomitsu","Angelov","1986-04-24"
"Tsutomu","Angelov","1986-10-03"
"Guadalupe","Angelov","1986-07-11"
"Sreenivas","Angelov","1986-07-31"
"Weiru","Angelov","1986-06-12"
"Yoshimitsu","Angelov","1986-04-09"
"Jianhui","Angelov","1986-04-14"
"Jinya","Angelov","1986-04-23"
"Sugwoo","Angelov","1986-03-13"
"Fei","Angelov","1986-06-28"
"Yakkov","Angelov","1986-06-30"
"Paddy","Angelov","1986-09-10"
"Jasminko","Angelov","1986-09-08"
"Radhakrishnan","Angelov","1986-01-27"
"Naftali","Anger","1986-04-16"
"Dekang","Anger","1986-02-09"
"Shmuel","Anger","1986-01-27"
"Xiaoqiang","Anger","1986-11-12"
"Temple","Anger","1986-12-06"
"Ewing","Anger","1986-05-25"
"Gonzalo","Anger","1986-02-12"
"Mart","Anger","1986-11-11"
"Marek","Anger","1986-08-28"
"Seshu","Anger","1986-07-01"
"Kamran","Anger","1986-11-15"
"Eckart","Anger","1986-05-13"
"Wilmer","Anger","1986-01-14"
"Saeko","Anger","1986-11-18"
"Gita","Anger","1986-09-21"
"Manibrata","Anger","1986-04-21"
"Xiadong","Anger","1986-09-07"
"Woody","Anger","1986-07-05"
"Arto","Angiulli","1986-05-05"
"Kwangjo","Angiulli","1986-09-20"
"Giao","Angiulli","1986-09-16"
"Martins","Angiulli","1986-07-05"
"Valeska","Angiulli","1986-06-01"
"Jacqueline","Angiulli","1986-05-14"
"Jackson","Angiulli","1986-01-08"
"Paddy","Angiulli","1986-09-02"
"Kaijung","Angiulli","1986-12-23"
"Murthy","Angiulli","1986-08-02"
"Arne","Angiulli","1986-02-20"
"Jinpo","Angiulli","1986-09-05"
"Yurii","Angiulli","1986-11-21"
"Uma","Angiulli","1986-02-20"
"Zhenhua","Angiulli","1986-03-31"
"Mary","Angiulli","1986-01-23"
"Gennady","Angiulli","1986-10-14"
"Nechama","Angiulli","1986-07-20"
"Kazuhira","Angot","1986-01-10"
"Shaowei","Angot","1986-11-19"
"Yoshimitsu","Angot","1986-11-18"
"Abdulla","Angot","1986-05-05"
"Kerhong","Angot","1986-03-27"
"Shigehiro","Angot","1986-07-31"
"Tru","Angot","1986-10-18"
"Jaana","Angot","1986-04-26"
"Shahar","Angot","1986-06-23"
"Parto","Angot","1986-07-25"
"Djenana","Angot","1986-04-29"
"Junsik","Angot","1986-04-24"
"Rasiah","Angot","1986-02-08"
"Kagan","Angot","1986-03-15"
"Genki","Angot","1986-09-08"
"Gila","Angot","1986-01-23"
"Angel","Angot","1986-06-06"
"Tze","Angot","1986-07-03"
"Xinyu","Angot","1986-06-25"
"Paris","Angot","1986-09-28"
"Percy","Angot","1986-08-21"
"Ymte","Angot","1986-06-18"
"Deborah","Anguita","1986-12-31"
"Jingling","Anguita","1986-05-17"
"Valery","Anguita","1986-10-01"
"Leah","Anguita","1986-04-07"
"Sreenivas","Anguita","1986-04-07"
"Marlo","Anguita","1986-09-03"
"Dung","Anguita","1986-05-19"
"Moto","Anguita","1986-10-11"
"Elzbieta","Anguita","1986-03-30"
"Lucien","Anguita","1986-11-29"
"Greger","Anguita","1986-12-24"
"Nikolaus","Anguita","1986-04-30"
"Ranan","Anguita","1986-11-10"
"Guenter","Anguita","1986-07-11"
"Raimond","Anguita","1986-06-20"
"Munir","Anguita","1986-10-19"
"Hidekazu","Anguita","1986-02-25"
"Babette","Anguita","1986-03-18"
"Christophe","Anguita","1986-09-15"
"Kotesh","Anguita","1986-12-30"
"Kitty","Anguita","1986-06-14"
"Chuanti","Anick","1986-08-27"
"Lene","Anick","1986-04-07"
"Suzette","Anick","1986-02-11"
"Shigeo","Anick","1986-12-02"
"Ipke","Anick","1986-08-16"
"Siddarth","Anick","1986-06-26"
"Souichi","Anick","1986-04-21"
"Demin","Anick","1986-01-18"
"Munehiko","Anick","1986-02-21"
"Heping","Anick","1986-02-17"
"Hilary","Anick","1986-11-14"
"Ashish","Anick","1986-11-11"
"Mang","Anick","1986-11-10"
"Marek","Anick","1986-01-29"
"Yahiko","Anick","1986-04-03"
"Boalin","Anick","1986-11-21"
"Fatemeh","Anick","1986-10-17"
"Heping","Anick","1986-07-16"
"Odysseas","Anick","1986-04-04"
"Morrie","Anick","1986-01-25"
"Mariusz","Anick","1986-07-03"
"Chuanyi","Anick","1986-03-08"
"Fumiyo","Anick","1986-04-18"
"Subhash","Anick","1986-09-02"
"Vojin","Anick","1986-09-04"
"Uli","Anick","1986-02-18"
"Shem","Anick","1986-02-04"
"Feiyu","Anick","1986-05-23"
"Emran","Anick","1986-08-31"
"Danai","Anick","1986-06-25"
"Paddy","Anick","1986-02-10"
"Arco","Anick","1986-09-10"
"Alois","Anick","1986-03-14"
"Martina","Anick","1986-08-12"
"Prasadram","Anido","1986-12-13"
"Mona","Anido","1986-02-20"
"Cordelia","Anido","1986-09-08"
"Tze","Anido","1986-02-25"
"Goetz","Anido","1986-10-26"
"Constantijn","Anido","1986-06-11"
"Szabolcs","Anido","1986-11-15"
"Ortrud","Anido","1986-01-29"
"Jaewoo","Anido","1986-10-03"
"Turgut","Anido","1986-03-14"
"Lech","Anido","1986-12-07"
"Hironobu","Anido","1986-06-12"
"Jacqueline","Anido","1986-08-24"
"Karlis","Anido","1986-05-12"
"Toney","Anido","1986-07-16"
"Kwok","Anido","1986-02-14"
"Muneo","Anido","1986-06-27"
"Sibyl","Anido","1986-12-06"
"Halsur","Anido","1986-08-07"
"Yunming","Anily","1986-03-05"
"Mohd","Anily","1986-08-21"
"Pantung","Anily","1986-01-11"
"Zhonghui","Anily","1986-03-20"
"Yonghoan","Anily","1986-01-07"
"Khoa","Anily","1986-05-14"
"Ranga","Anily","1986-11-10"
"Greger","Anily","1986-03-08"
"Huiqun","Anily","1986-07-14"
"Yurij","Anily","1986-06-27"
"Snehasis","Anily","1986-03-03"
"Mooi","Anily","1986-02-02"
"Junsik","Anily","1986-08-01"
"Bartek","Anily","1986-11-14"
"Jackson","Anily","1986-09-05"
"Rimli","Anily","1986-07-21"
"Tetsushi","Anily","1986-11-26"
"Bernt","Anily","1986-06-08"
"Zhenbing","Antonakopoulos","1986-04-11"
"Chaoyi","Antonakopoulos","1986-12-24"
"Mansur","Antonakopoulos","1986-09-19"
"Pramod","Antonakopoulos","1986-06-08"
"Debaprosad","Antonakopoulos","1986-09-16"
"Make","Antonakopoulos","1986-09-21"
"Masaru","Antonakopoulos","1986-09-24"
"Paraskevi","Antonakopoulos","1986-03-23"
"Frederique","Antonakopoulos","1986-05-06"
"Odoardo","Antonakopoulos","1986-05-08"
"Phule","Antonakopoulos","1986-03-22"
"Nathan","Antonakopoulos","1986-11-27"
"Ramalingam","Antonakopoulos","1986-08-22"
"Alexius","Antonakopoulos","1986-08-16"
"Taizo","Antonakopoulos","1986-02-17"
"Breannda","Antonakopoulos","1986-12-11"
"Giap","Antonakopoulos","1986-07-27"
"Jackson","Antonakopoulos","1986-04-27"
"Dipayan","Antonakopoulos","1986-06-06"
"Tsvetan","Antonakopoulos","1986-01-22"
